"Group 1: age (45~55), socio-economic<0",,,,,"Group 2: age (45~55), socio-economic>0",,,,,"Group 3: education (12~16), socio-economic<0",,,,,"Group 4: education (12~16), socio-economic>0",,,,,"Group 5: age (45~55), education (12~16), socio-economic<0",,,,,,,"Group 6: age (45~55), education (12~16), socio-economic>0",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,,,wealth,age,education,socioeconomic
0,52,12,-44279,,62300,47,10,330,,117000,65,12,-53415,,0,27,12,92,,20002,47,12,-37374,,,,-93300,53,14,645
0,45,11,-44076,,1318000,52,11,337,,0,48,12,-53062,,100000,53,13,92,,234880,48,12,-37303,,,,188000,50,16,656
-36000,55,3,-43701,,393000,53,13,352,,-34700,31,12,-52430,,36000,25,12,95,,4000,48,12,-37266,,,,-1900,46,16,659
-29500,47,13,-43649,,12760,45,13,358,,-4000,57,13,-52412,,2001,40,15,96,,-18000,47,13,-37007,,,,221800,50,12,670
15000,51,11,-43526,,74800,53,13,384,,0,32,12,-52412,,337900,78,12,97,,-29050,46,12,-36541,,,,329500,49,12,686
-20000,46,14,-43320,,-2200,45,13,393,,5000,26,13,-52412,,1510,21,12,99,,156000,47,12,-36457,,,,292000,50,14,715
-15000,49,13,-43190,,-8950,46,13,395,,10500,31,14,-52412,,-12300,54,16,102,,0,50,13,-36352,,,,100000,46,14,735
10000,47,11,-42811,,3000,47,11,419,,100000,58,12,-52007,,10300,57,12,102,,32000,46,12,-36262,,,,48000,54,12,750
-1490,50,13,-42491,,73500,54,14,419,,2055000,48,16,-51966,,-20700,69,12,107,,300000,52,12,-36138,,,,-8000,45,14,767
0,52,11,-42383,,22800,55,12,445,,6500,32,12,-51822,,16900,35,13,107,,2000,53,12,-35968,,,,3500,55,16,778
9200,47,13,-42363,,85000,45,12,449,,-5000,34,16,-51690,,0,30,13,111,,25000,48,15,-35911,,,,2984500,55,16,786
0,48,12,-42349,,119000,49,16,449,,0,26,14,-51530,,-28000,45,12,111,,-8450,55,12,-35726,,,,21000,54,12,820
3000,46,12,-41644,,239000,53,12,449,,0,28,12,-51467,,500,27,12,112,,1293000,47,16,-35540,,,,33000,50,12,824
25000,48,0,-41589,,83361,47,11,492,,-23500,46,14,-51408,,-53250,26,13,113,,22501,45,12,-35415,,,,500,49,15,832
200,50,6,-41351,,228500,50,9,592,,2000,30,12,-51335,,270000,87,12,124,,45000,54,14,-35298,,,,500,54,12,832
48000,49,11,-41320,,0,49,11,597,,-16700,23,15,-51189,,-19820,48,12,129,,300,50,14,-35125,,,,0,50,13,856
3027,55,13,-41217,,1035,55,16,597,,37575,39,14,-51177,,9500,46,12,129,,301400,54,12,-34857,,,,21600,48,13,892
3500,52,8,-41087,,-1900,55,13,602,,5000,34,12,-51138,,122000,72,12,130,,55000,51,12,-34785,,,,32000,53,12,901
14000,50,12,-41077,,15000,50,9,608,,47900,43,12,-51132,,-11000,37,12,132,,0,54,15,-34657,,,,-159580,54,15,906
25000,46,0,-41055,,-93300,53,14,645,,58000,71,12,-51101,,0,24,12,132,,0,48,15,-34563,,,,105000,54,12,909
12000,49,1,-40968,,0,47,10,651,,4500,28,12,-50903,,6630,35,14,135,,1042,52,12,-34470,,,,73028,48,14,912
13000,47,12,-40402,,188000,50,16,656,,2025,29,12,-50826,,785000,64,14,139,,20000,52,12,-34438,,,,182500,53,12,917
4000,55,12,-40090,,-1900,46,16,659,,544,40,12,-50499,,92000,68,12,142,,0,46,13,-34316,,,,179500,45,12,944
60600,49,12,-39902,,149870,48,10,667,,6000,44,14,-50344,,227000,83,12,142,,500,50,14,-34277,,,,0,52,12,951
0,52,12,-39649,,221800,50,12,670,,-1979,30,12,-50269,,6030,45,12,143,,-2960,53,12,-34070,,,,7200,47,12,955
10000,50,12,-39554,,329500,49,12,686,,20000,71,12,-50225,,-1500,25,15,146,,0,50,15,-33998,,,,-48000,55,13,978
521000,48,16,-38909,,83200,45,10,713,,24000,40,12,-49990,,330000,68,12,147,,-17999,54,12,-33937,,,,29000,48,12,980
700,51,12,-38832,,292000,50,14,715,,0,39,14,-49835,,-60000,45,16,151,,8000,54,12,-33878,,,,-42400,48,14,991
0,45,12,-38672,,100000,46,14,735,,-17000,27,12,-49829,,-33000,30,16,152,,100000,48,12,-33711,,,,484200,51,14,992
3000,50,10,-38630,,48000,54,12,750,,1300,30,12,-49829,,130200,54,12,152,,-1000,52,12,-33622,,,,149500,51,13,993
96500,46,9,-38585,,-8000,45,14,767,,24900,24,14,-49829,,1085000,83,12,153,,7000,52,12,-33600,,,,600,53,16,997
0,50,12,-38288,,3500,55,16,778,,28000,27,13,-49829,,12000,82,16,154,,0,51,12,-33323,,,,33900,46,13,1014
0,50,11,-38241,,2984500,55,16,786,,0,28,12,-49293,,79500,79,12,154,,6400,46,16,-33180,,,,4000,50,12,1016
-500,45,10,-38052,,5000,46,11,792,,2020,53,12,-48991,,207400,65,16,157,,0,53,12,-32871,,,,60000,52,12,1016
390000,50,12,-37844,,3500,51,10,807,,25000,36,12,-48982,,112500,44,16,160,,0,53,12,-32718,,,,-5996,52,12,1019
2500,52,13,-37790,,21000,54,12,820,,36000,53,12,-48811,,-2200,21,13,166,,65000,47,12,-32622,,,,9458,45,12,1032
3200,46,6,-37782,,33000,50,12,824,,0,37,13,-48699,,-53000,28,16,176,,1500,55,13,-32368,,,,43500,46,12,1044
-13500,48,10,-37528,,65500,54,11,824,,3000,29,13,-48620,,130000,26,13,179,,6400,52,16,-32321,,,,74000,46,16,1067
0,46,12,-37505,,-1980,51,9,832,,25000,44,12,-48461,,-1500,32,13,183,,433000,55,16,-32061,,,,85000,50,12,1073
0,51,10,-37433,,500,49,15,832,,12000,28,12,-48143,,0,25,12,186,,5000,48,12,-31988,,,,7864,46,14,1082
0,50,12,-37409,,500,54,12,832,,3600,26,12,-48050,,-31000,47,12,186,,353000,53,14,-31909,,,,6250,47,13,1086
20002,47,12,-37374,,17000,48,11,832,,9000,30,12,-47754,,-26325,48,14,186,,376000,52,14,-31713,,,,51500,53,16,1097
57260,45,8,-37328,,0,50,13,856,,-12275,43,12,-47658,,135000,27,12,186,,213000,46,12,-31555,,,,622000,46,16,1115
234880,48,12,-37303,,53000,52,17,882,,-2000,48,13,-47621,,317300,73,13,186,,14000,52,12,-31420,,,,-9840,50,14,1138
4000,48,12,-37266,,21600,48,13,892,,13100,26,12,-47610,,95000,58,13,187,,-38830,55,12,-31363,,,,55800,45,12,1166
-18000,47,13,-37007,,32000,53,12,901,,20000,35,12,-47609,,66500,57,13,190,,250000,54,14,-31325,,,,34000,47,14,1168
0,51,11,-36945,,131200,52,10,902,,2500,65,12,-47378,,32000,60,12,192,,61800,53,12,-31176,,,,69000,53,16,1174
129000,48,9,-36771,,-159580,54,15,906,,200,52,13,-47292,,-74800,37,16,195,,0,50,12,-31124,,,,100000,53,14,1186
0,48,10,-36716,,105000,54,12,909,,21000,41,12,-47221,,26200,45,14,198,,0,52,12,-31108,,,,500,46,12,1197
350,55,6,-36649,,73028,48,14,912,,25,31,12,-47220,,60000,46,12,201,,195500,51,14,-31108,,,,-13000,53,13,1200
-29050,46,12,-36541,,182500,53,12,917,,0,24,12,-47206,,10000,80,12,203,,-17500,51,13,-30969,,,,85500,55,12,1212
156000,47,12,-36457,,869548,49,17,933,,0,26,12,-47090,,961000,63,14,203,,47800,54,12,-30966,,,,71800,53,12,1222
34000,46,4,-36415,,910000,54,17,933,,79000,53,12,-47030,,0,41,12,207,,58000,52,12,-30934,,,,223200,50,12,1242
15000,47,8,-36389,,16425,50,11,940,,74000,33,12,-46950,,156475,81,12,209,,-6900,52,12,-30808,,,,16500,51,12,1249
0,50,13,-36352,,200000,47,9,940,,20186,30,16,-46911,,-14000,64,15,214,,2000,47,12,-30759,,,,35000,54,14,1249
4000,51,11,-36338,,179500,45,12,944,,-2300,33,12,-46906,,-4850,49,14,214,,0,46,12,-30727,,,,178000,50,14,1249
32000,46,12,-36262,,0,52,12,951,,424000,40,16,-46903,,-11000,24,14,215,,55010,54,12,-30715,,,,2000,48,15,1267
500,45,9,-36161,,0,52,10,951,,0,37,13,-46900,,100,20,12,215,,3000,53,12,-30706,,,,50000,52,13,1270
300000,52,12,-36138,,10030,55,11,951,,0,26,12,-46816,,-21000,54,12,215,,5,48,12,-30691,,,,10800,48,16,1276
2000,53,12,-35968,,7200,47,12,955,,10000,29,12,-46762,,65150,56,12,215,,100000,54,12,-30669,,,,3500,52,14,1278
18400,46,5,-35941,,-48000,55,13,978,,140,57,12,-46697,,135100,64,12,216,,0,48,13,-30605,,,,36300,50,12,1278
25000,48,15,-35911,,29000,48,12,980,,15500,37,14,-46655,,470000,64,16,217,,42800,49,12,-30428,,,,551000,55,12,1289
2000,47,3,-35908,,37850,47,17,985,,1500,24,13,-46606,,88500,59,12,218,,59000,48,12,-30186,,,,98500,48,12,1295
1000,46,9,-35728,,-42400,48,14,991,,-488000,37,16,-46558,,71500,27,16,220,,0,47,12,-30020,,,,500,49,16,1297
-8450,55,12,-35726,,484200,51,14,992,,16000,34,12,-46330,,5110,43,12,222,,340750,45,14,-29918,,,,1,45,13,1314
1293000,47,16,-35540,,149500,51,13,993,,-10000,36,16,-46310,,200,50,12,222,,135200,46,12,-29821,,,,2200,54,14,1314
8500,45,9,-35421,,600,53,16,997,,0,26,12,-46307,,205,56,13,226,,0,50,13,-29738,,,,-44938,52,12,1320
22501,45,12,-35415,,33900,46,13,1014,,0,28,13,-46119,,570000,61,16,226,,0,50,13,-29733,,,,4000,53,12,1321
45000,54,14,-35298,,4000,50,12,1016,,4200,29,12,-45797,,10850,30,13,227,,37500,50,12,-29679,,,,15500,55,12,1321
0,49,10,-35269,,60000,52,12,1016,,153000,58,16,-45797,,12000,31,12,227,,92800,52,16,-29470,,,,-35000,55,16,1332
34000,54,9,-35229,,-5996,52,12,1019,,0,28,12,-45570,,795000,63,16,230,,0,52,12,-29328,,,,130300,53,13,1333
300,50,14,-35125,,13500,55,6,1020,,-5500,34,12,-45392,,800,78,12,232,,0,46,12,-29276,,,,98000,53,16,1348
12000,51,6,-34886,,9458,45,12,1032,,-3985,44,12,-45334,,13400,58,16,233,,0,46,12,-29276,,,,135000,49,14,1352
301400,54,12,-34857,,43500,46,12,1044,,0,30,16,-45289,,239000,60,14,235,,26500,45,14,-29275,,,,213000,45,15,1355
55000,51,12,-34785,,74000,46,16,1067,,3500,45,13,-45263,,63900,64,14,238,,2000,45,12,-29224,,,,6720,53,12,1361
200,46,6,-34749,,85000,50,12,1073,,5650,31,12,-45230,,95000,53,14,240,,0,54,12,-29162,,,,81000,51,13,1361
0,52,8,-34732,,7864,46,14,1082,,0,22,12,-45075,,158000,37,16,240,,-1615,53,14,-29118,,,,-494000,54,16,1374
0,54,15,-34657,,6250,47,13,1086,,0,29,12,-45020,,40000,43,12,246,,0,47,12,-28732,,,,1130000,47,16,1375
23755,47,11,-34625,,124000,49,6,1090,,9000,35,12,-44965,,5000,24,12,249,,-16480,46,12,-28705,,,,362500,49,14,1386
1000,53,0,-34576,,51500,53,16,1097,,92500,32,12,-44766,,19500,49,12,249,,47500,46,14,-28701,,,,804000,46,12,1414
0,48,15,-34563,,3500,48,11,1102,,1500,22,12,-44754,,33982,47,12,249,,0,46,12,-28598,,,,75000,51,13,1420
1042,52,12,-34470,,1300,49,10,1114,,500,32,13,-44568,,29000,44,16,249,,55000,51,16,-28538,,,,229000,50,14,1429
6000,51,9,-34438,,1900,49,11,1115,,2100,40,12,-44539,,50090,26,12,249,,7050,49,13,-28527,,,,35000,55,12,1431
20000,52,12,-34438,,622000,46,16,1115,,206000,49,14,-44534,,124000,31,15,258,,-19700,51,14,-28453,,,,174000,54,12,1444
0,46,13,-34316,,9045,46,10,1126,,15000,50,12,-44415,,182000,27,16,260,,0,46,12,-28442,,,,13000,46,15,1456
0,53,11,-34297,,-9840,50,14,1138,,114500,26,14,-44413,,3080,74,16,261,,0,51,12,-28442,,,,99000,55,13,1458
500,50,14,-34277,,55800,45,12,1166,,9000,30,13,-44398,,0,27,12,267,,25000,54,12,-28442,,,,6825,45,12,1467
0,48,11,-34115,,34000,47,14,1168,,1100,40,12,-44305,,5000,35,12,267,,-2300,46,12,-28392,,,,1000,49,12,1472
0,55,5,-34078,,69000,53,16,1174,,1300,38,12,-44294,,-3950,25,12,270,,118000,52,12,-28355,,,,81500,48,14,1495
-2960,53,12,-34070,,-4500,48,11,1186,,0,52,12,-44279,,17000,36,13,272,,0,52,12,-28320,,,,18000,46,12,1518
25000,50,0,-34050,,100000,53,14,1186,,27000,29,13,-44279,,-8000,26,13,273,,55600,49,12,-28258,,,,37000,54,12,1558
0,50,15,-33998,,500,46,12,1197,,2000,36,12,-44073,,53200,31,14,274,,140500,49,12,-28228,,,,-43800,55,14,1578
15000,51,11,-33984,,-13000,53,13,1200,,4000,31,12,-43984,,15000,32,14,275,,349088,52,12,-28221,,,,11000,52,12,1593
-17999,54,12,-33937,,30300,49,8,1212,,24000,22,12,-43940,,-4300,67,12,282,,0,49,12,-28211,,,,-38400,46,13,1618
8000,54,12,-33878,,85500,55,12,1212,,-5200,39,12,-43916,,32300,31,12,282,,0,53,12,-28130,,,,3386000,54,12,1656
100000,48,12,-33711,,3,45,11,1214,,-29500,47,13,-43649,,77000,40,12,283,,-14200,52,13,-28120,,,,-57000,51,12,1670
